Date,Date,Value,D-value,Rate,,,,
0,,1324.6,1324.6,#DIV/0!,,,,意思为自己补上的数据
1,2009/12/16,1324.6,-0.95,-0.0007172,,,,
2,9/13/16,1323.65,-1.9,-0.00143542,,,,
3,9/14/16,1321.75,-10.95,-0.00828447,,,,
4,9/15/16,1310.8,-2.45,-0.00186909,,,,
5,9/16/16,1308.35,2.166666667,0.00165603,,,,
6,,1310.516667,2.166666667,0.00165329,,,,
7,,1312.683333,2.166666667,0.00165056,,,,
8,9/19/16,1314.85,-1.05,-0.00079857,,,,
9,9/20/16,1313.8,12.3,0.00936216,,,,
10,9/21/16,1326.1,13,0.00980318,,,,
11,9/22/16,1339.1,-0.45,-0.00033605,,,,
12,9/23/16,1338.65,0.616666667,0.00046066,,,,
13,,1339.266667,0.616666667,0.00046045,,,,
14,,1339.883333,0.616666667,0.00046024,,,,
15,9/26/16,1340.5,-13.5,-0.01007087,,,,
16,9/27/16,1327,-4.5,-0.00339111,,,,
17,9/28/16,1322.5,-4.4,-0.00332703,,,,
18,9/29/16,1318.1,4.4,0.00333814,,,,
19,9/30/16,1322.5,-3.066666667,-0.00231884,,,,
20,,1319.433333,-3.066666667,-0.00232423,,,,
21,,1316.366667,-3.066666667,-0.00232964,,,,
22,2010/3/16,1313.3,-30,-0.02284322,,,,
23,2010/4/16,1283.3,-13.9,-0.01083145,,,,
24,2010/5/16,1269.4,-14.9,-0.01173783,,,,
25,2010/6/16,1254.5,4.25,0.0033878,,,,
26,2010/7/16,1258.75,0.25,0.00019861,,,,
27,,1259,0.25,0.00019857,,,,
28,,1259.25,0.25,0.00019853,,,,
29,2010/10/16,1259.5,-6.05,-0.00480349,,,,
30,2010/11/16,1253.45,3.05,0.00243328,,,,
31,2010/12/16,1256.5,4.55,0.00362117,,,,
32,10/13/16,1261.05,-9.3,-0.00737481,,,,
33,10/14/16,1251.75,1.016666667,0.0008122,,,,
34,,1252.766667,1.016666667,0.00081154,,,,
35,,1253.783333,1.016666667,0.00081088,,,,
36,10/17/16,1254.8,3.4,0.0027096,,,,
37,10/18/16,1258.2,10.85,0.00862343,,,,
38,10/19/16,1269.05,2.6,0.00204878,,,,
39,10/20/16,1271.65,-5.6,-0.00440373,,,,
40,10/21/16,1266.05,-0.166666667,-0.00013164,,,,
41,,1265.883333,-0.166666667,-0.00013166,,,,
42,,1265.716667,-0.166666667,-0.00013168,,,,
43,10/24/16,1265.55,3.85,0.00304216,,,,
44,10/25/16,1269.4,1.1,0.00086655,,,,
