Date,Date,Value,D-value,Rate
0,2009/11/16,621.65,-11.98,-0.01927129 
1,2009/12/16,609.67,1.25,0.00205029 
2,9/13/16,610.92,-2.1,-0.00343744 
3,9/14/16,608.82,1.56,0.00256233 
4,9/15/16,610.38,-1.27,-0.00208067 
5,9/16/16,609.11,-2.07,-0.00339840 
6,9/17/16,607.04,4.54,0.00747891 
7,9/18/16,611.58,-1.39,-0.00227280 
8,9/19/16,610.19,-1.53,-0.00250742 
9,9/20/16,608.66,-9.78,-0.01606808 
10,9/21/16,598.88,-1.46,-0.00243788 
11,9/22/16,597.42,-3.34,-0.00559071 
12,9/23/16,594.08,9.8,0.01649609 
13,9/24/16,603.88,-2.14,-0.00354375 
14,9/25/16,601.74,-2.76,-0.00458670 
15,9/26/16,598.98,6.98,0.01165314 
16,9/27/16,605.96,-0.29,-0.00047858 
17,9/28/16,605.67,-1.82,-0.00300494 
18,9/29/16,603.85,5.54,0.00917446 
19,9/30/16,609.39,5.43,0.00891055 
20,2010/1/16,614.82,-1.84,-0.00299275 
21,2010/2/16,612.98,-1.13,-0.00184345 
22,2010/3/16,611.85,-2.23,-0.00364468 
23,2010/4/16,609.62,-2.44,-0.00400249 
24,2010/5/16,607.18,4.9,0.00807009 
25,2010/6/16,612.08,5.13,0.00838126 
26,2010/7/16,617.21,-2.47,-0.00400188 
27,2010/8/16,614.74,0.91,0.00148030 
28,2010/9/16,615.65,1.89,0.00306993 
29,2010/10/16,617.54,-2.77,-0.00448554 
30,2010/11/16,614.77,20.24,0.03292288 
31,2010/12/16,635.01,0.95,0.00149604 
32,10/13/16,635.96,-1.94,-0.00305051 
33,10/14/16,634.02,3.92,0.00618277 
34,10/15/16,637.94,3.48,0.00545506 
35,10/16/16,641.42,-2.45,-0.00381965 
36,10/17/16,638.97,-2.68,-0.00419425 
37,10/18/16,636.29,-7.04,-0.01106414 
38,10/19/16,629.25,-1.53,-0.00243147 
39,10/20/16,627.72,4.2,0.00669088 
40,10/21/16,631.92,23.56,0.03728320 
41,10/22/16,655.48,-2.23,-0.00340209 
42,10/23/16,653.25,-1.86,-0.00284730 
43,10/24/16,651.39,3.92,0.00601790 
44,10/25/16,655.31,-3.86,-0.00589034 
45,10/26/16,651.45,30.77,0.04723310 
46,10/27/16,682.22,5.46,0.00800328 
47,10/28/16,687.68,-1.77,-0.00257387 
48,10/29/16,685.91,12.09,0.01762622 
49,10/30/16,698,4,0.00573066 
50,10/31/16,702,-4.99,-0.00710826 
51,2011/1/16,697.01,36.32,0.05210829 
52,2011/2/16,733.33,-47.16,-0.06430938 
53,2011/3/16,686.17,-2.48,-0.00361426 
54,2011/4/16,683.69,21.1,0.03086194 
55,2011/5/16,704.79,7.21,0.01023000 
56,2011/6/16,712,-2.04,-0.00286517 
57,2011/7/16,709.96,-0.99,-0.00139444 
58,2011/8/16,708.97,11.96,0.01686954 
59,2011/9/16,720.93,0.57,0.00079065 
60,2011/10/16,721.5,-6.05,-0.00838531 
61,2011/11/16,715.45,-11.74,-0.01640925 
62,2011/12/16,703.71,-1.43,-0.00203209 
63,11/13/16,702.28,4.18,0.00595204 
64,11/14/16,706.46,4.45,0.00629901 
65,11/15/16,710.91,0.82,0.00115345 
66,11/16/16,711.73,25.23,0.03544884 
67,11/17/16,736.96,10.56,0.01432914 
68,11/18/16,747.52,1.46,0.00195313 
69,11/19/16,748.98,-19.92,-0.02659617 
70,11/20/16,729.06,9.47,0.01298933 
71,11/21/16,738.53,-1.56,-0.00211230 
72,11/22/16,736.97,4.66,0.00632319 
73,11/23/16,741.63,-4.18,-0.00563623 
74,11/24/16,737.45,-1.81,-0.00245440 
75,11/25/16,735.64,-1.97,-0.00267794 
76,11/26/16,733.67,-5.71,-0.00778279 
77,11/27/16,727.96,-0.65,-0.00089291 
78,11/28/16,727.31,5.4,0.00742462 
79,11/29/16,732.71,9.98,0.01362067 
80,11/30/16,742.69,-0.64,-0.00086173 
81,2012/1/16,742.05,30.38,0.04094064 
82,2012/2/16,772.43,-8.1,-0.01048639 
83,2012/3/16,764.33,-1.36,-0.00177934 
84,2012/4/16,762.97,-8.34,-0.01093097 
85,2012/5/16,754.63,1.99,0.00263705 
86,2012/6/16,756.62,2.37,0.00313235 
87,2012/7/16,758.99,10.73,0.01413721 
88,2012/8/16,769.72,0.3,0.00038975 
89,2012/9/16,770.02,-0.94,-0.00122075 
90,2012/10/16,769.08,7.92,0.01029802 
91,2012/11/16,777,0,0.00000000 
92,2012/12/16,777,0.99,0.00127413 
93,12/13/16,777.99,-3.1,-0.00398463 
94,12/14/16,774.89,1.86,0.00240034 
95,12/15/16,776.75,-0.87,-0.00112005 
96,12/16/16,775.88,12.82,0.01652317 
97,12/17/16,788.7,-0.3,-0.00038037 
98,12/18/16,788.4,0.27,0.00034247 
99,12/19/16,788.67,4.42,0.00560437 
100,12/20/16,793.09,31.12,0.03923893 
101,12/21/16,824.21,10.76,0.01305493 
102,12/22/16,834.97,66.34,0.07945196 
103,12/23/16,901.31,-9.7,-0.01076211 
104,12/24/16,891.61,0.99,0.00111035 
105,12/25/16,892.6,4.73,0.00529913 
106,12/26/16,897.33,33.04,0.03682034 
107,12/27/16,930.37,-0.03,-0.00003225 
108,12/28/16,930.34,33.04,0.03551390 
109,12/29/16,963.38,-11.23,-0.01165687 
110,12/30/16,952.15,5.97,0.00627002 
111,12/31/16,958.12,39.6,0.04133094 
112,2001/1/17,997.72,18.25,0.01829171 
113,2001/2/17,1015.97,-2.55,-0.00250992 
114,2001/3/17,1013.42,113.34,0.11183912 
115,2001/4/17,1126.76,-132.09,-0.11722993 
116,2001/5/17,994.67,4.98,0.00500669 
117,2001/6/17,999.65,-102.82,-0.10285600 
118,2001/7/17,896.83,11.31,0.01261109 
119,2001/8/17,908.14,2.35,0.00258771 
120,2001/9/17,910.49,-4.44,-0.00487650 
121,2001/10/17,906.05,-120.83,-0.13335909 
122,2001/11/17,785.22,-4.3,-0.00547617 
123,2001/12/17,780.92,45.37,0.05809814 
124,1/13/17,826.29,-8.38,-0.01014172 
125,1/14/17,817.91,1.64,0.00200511 
126,1/15/17,819.55,10.95,0.01336099 
127,1/16/17,830.5,73.34,0.08830825 
128,1/17/17,903.84,2.76,0.00305364 
129,1/18/17,906.6,-10.801125,-0.01191388 
130,1/19/17,895.798875,-2.1777875,-0.00243111 
131,1/20/17,893.6210875,2.0189125,0.00225925 
132,1/21/17,895.64,22.963625,0.02563935 
133,1/22/17,918.603625,3.4699875,0.00377746 
134,1/23/17,922.0736125,-2.1036125,-0.00228139 
135,1/24/17,919.97,-26.924375,-0.02926658 
136,1/25/17,893.045625,22.910625,0.02565448 
137,1/26/17,915.95625,-0.90625,-0.00098940 
138,1/27/17,915.05,5.26225,0.00575078 
139,1/28/17,920.31225,-4.37925,-0.00475844 
140,1/29/17,915.933,-3.743,-0.00408654 
141,1/30/17,912.19,52.516075,0.05757142 
142,1/31/17,964.706075,14.9978,0.01554650 
143,2002/1/17,979.703875,3.716125,0.00379311 
144,2002/2/17,983.42,29.607,0.03010616 
145,2002/3/17,1013.027,17.972413,0.01774130 
146,2002/4/17,1030.999413,3.070587,0.00297826 
147,2002/5/17,1034.07,-10.05625,-0.00972492 
148,2002/6/17,1024.01375,26.09625,0.02548428 
149,2002/7/17,1050.11,2.73,0.00259973 
150,2002/8/17,1052.84,-76.737,-0.07288572 
151,2002/9/17,976.103,23.0005,0.02356360 
152,2002/10/17,999.1035,-1.5135,-0.00151486 
153,2002/11/17,997.59,3.014625,0.00302191 
154,2002/12/17,1000.604625,-0.72725,-0.00072681 
155,2/13/17,999.877375,1.322625,0.00132279 
156,2/14/17,1001.2,11.125988,0.01111265 
157,2/15/17,1012.325988,22.882137,0.02260353 
158,2/16/17,1035.208125,-0.008125,-0.00000785 
159,2/17/17,1035.2,21.437138,0.02070821 
160,2/18/17,1056.637138,-3.857852,-0.00365107 
161,2/19/17,1052.779286,-1.909286,-0.00181357 
162,2/20/17,1050.87,72.918429,0.06938863 
163,2/21/17,1123.788429,-0.565241,-0.00050298 
164,2/22/17,1123.223188,6.786812,0.00604226 
165,2/23/17,1130.01,44.85625,0.03969545 
166,2/24/17,1174.86625,-24.260536,-0.02064962 
167,2/25/17,1150.605714,-0.235714,-0.00020486 
168,2/26/17,1150.37,40.38195,0.03510344 
169,2/27/17,1190.75195,-3.186664,-0.00267618 
170,2/28/17,1187.565286,3.324714,0.00279961 
171,2003/1/17,1190.89,68.520817,0.05753749 
172,2003/2/17,1259.410817,25.729183,0.02042954 
173,2003/3/17,1285.14,1.86,0.00144731 
174,2003/4/17,1287,-16.0667,-0.01248384 
175,2003/5/17,1270.9333,4.264075,0.00335507 
176,2003/6/17,1275.197375,4.302625,0.00337409 
177,2003/7/17,1279.5,-122.1067,-0.09543314 
178,2003/8/17,1157.3933,35.075843,0.03030590 
179,2003/9/17,1192.469143,-0.379143,-0.00031795 
180,2003/10/17,1192.09,-12.930125,-0.01084660 
181,2003/11/17,1179.159875,48.33475,0.04099084 
182,2003/12/17,1227.494625,0.185375,0.00015102 
183,3/13/17,1227.68,17.690786,0.01440993 
184,3/14/17,1245.370786,12.028839,0.00965884 
185,3/15/17,1257.399625,-0.399625,-0.00031782 
186,3/16/17,1257,-165.828112,-0.13192372 
187,3/17/17,1091.171888,-138.9395255,-0.12733056 
188,3/18/17,952.2323625,15.4576375,0.01623305 
189,3/19/17,967.69,81.394488,0.08411215 
190,3/20/17,1049.084488,69.545555,0.06629166 
191,3/21/17,1118.630043,-5.630043,-0.00503298 
192,3/22/17,1113,-74.211,-0.06667655 
193,3/23/17,1038.789,-96.8692857,-0.09325213 
194,3/24/17,941.9197143,-13.9897143,-0.01485234 
195,3/25/17,927.93,28.8563125,0.03109751 
196,3/26/17,956.7863125,80.4429375,0.08407618 
197,3/27/17,1037.22925,3.81075,0.00367397 
198,3/28/17,1041.04,-0.4645,-0.00044619 
199,3/29/17,1040.5755,-2.67095,-0.00256680 
